tip_label,species,action
Sagina_procumbens_230724_PHA007803_BGN_HMG,Sagina_procumbens,direct match
Rumex_obtusifolius_obtusifolius_1211607_PHA007767_BGN_FDR,Rumex_obtusifolius,direct match
Rumex_alpinus_1351827_TROM_V_146873_CDM_AEM,Rumex_alpinus,direct match
Rumex_alpestris_565439_CAR007736_BGN_NCP,Rumex_alpestris,direct match
Rumex_acetosella_61450_PHA007729_BGN_GS,Rumex_acetosella,direct match
Rubus_saxatilis_75091_TROM_V_147352_BMB_PM,Rubus_saxatilis,direct match
Rosa_pendulina_74642_PHA007683_BGN_EQ,Rosa_pendulina,direct match
Ribes_petraeum_175225_PHA007626_BGN_FDQ,Ribes_petraeum,direct match
Ribes_alpinum_134913_PHA007622_RSZ_RSZAXPI000692-86,Ribes_alpinum,direct match
Rhodothamnus_chamaecistus_45907_PHA007614_RSZ_RSZAXPI000820-90,Rhodothamnus_chamaecistus,direct match
Rhododendron_hirsutum_516007_PHA007607_BGN_HD,Rhododendron_hirsutum,direct match
Rhododendron_ferrugineum_49622_PHA007604_RSZ_RSZAXPI000954-94,Rhododendron_ferrugineum,direct match
Rhizobotrya_alpina_190889_PHA007597_BGN_HLA,Rhizobotrya_alpina,direct match
Rhinanthus_glacialis_374726_PHA007588_BGN_BPQ,Rhinanthus_glacialis,direct match
Rhinanthus_alectorolophus_374724_TROM_V_135247_CDM_AYC,Rhinanthus_alectorolophus,direct match
Rhamnus_saxatilis_280025_PHA007571_BGN_CKC,Rhamnus_saxatilis,direct match
Rhamnus_pumila_280023_PHA007567_BGN_IEM,Rhamnus_pumila,direct match
Ranunculus_traunfellneri_320426_PHA007528_BGN_IVQ,Ranunculus_traunfellneri,direct match
Ranunculus_thora_287000_PHA007525_BGN_HER,Ranunculus_thora,direct match
Ranunculus_seguieri_286992_PHA007521_BGN_DHV,Ranunculus_seguieri,direct match
Ranunculus_repens_137665_PHA007508_BGN_EM,Ranunculus_repens,direct match
Ranunculus_platanifolius_286971_PHA007501_BGN_CMF,Ranunculus_platanifolius,direct match
Ranunculus_montanus_286941_PHA007489_BGN_AEP,Ranunculus_montanus,direct match
Ranunculus_lanuginosus_286924_PHA007483_BGN_BPN,Ranunculus_lanuginosus,direct match
Ranunculus_hybridus_286914_PHA007477_BGN_HKK,Ranunculus_hybridus,direct match
Ranunculus_glacialis_235900_TROM_V_96280_BXA_BDH,Ranunculus_glacialis,direct match
Ranunculus_carinthiacus_286878_PHA007449_BGN_HKH,Ranunculus_carinthiacus,direct match
Ranunculus_bulbosus_aleae_1533334_PHA007445_BGN_IVM,Ranunculus_bulbosus,direct match
Ranunculus_acris_acris_3447_PHA007426_BGN_ADE,Ranunculus_acris,direct match
Ranunculus_aconitifolius_286847_PHA007425_BGN_BPK,Ranunculus_aconitifolius,direct match
Quercus_robur_38942_PHA007416_BGN_BPI,Quercus_robur,direct match
Pyrola_rotundifolia_13651_PHA007385_RSZ_RSZAXPI000824-16,Pyrola_rotundifolia,direct match
Pyrola_minor_93826_TROM_V_90605_BMB_I,Pyrola_minor,direct match
Pyrola_media_642534_PHA007378_RSZ_RSZAXPI000961-101,Pyrola_media,direct match
Pulsatilla_vernalis_445233_PHA007368_BGN_AEN,Pulsatilla_vernalis,direct match
Pulsatilla_alpina_alpina_470566_PHA007343_BGN_AEM,Pulsatilla_alpina,direct match
Pulmonaria_officinalis_136616_PHA-S1539_BGN_QEJ,Pulmonaria_officinalis,direct match
Pulmonaria_mollis_mollis_256500_PHA007332_BGN_PQB,Pulmonaria_mollis,direct match
Pseudorchis_albida_367781_PHA007301_RSZ_RSZAXPI000818-88,Pseudorchis_albida,direct match
Prunus_avium_42229_PHA007273_BGN_AAD,Prunus_avium,direct match
Prunella_vulgaris_39358_TROM_V_85357_CDM_BCJ,Prunella_vulgaris,direct match
Prunella_grandiflora_39356_PHA007265_BGN_AEL,Prunella_grandiflora,direct match
Pritzelago_alpina_austroalpina_1533137_PHA007255_BGN_HIP,Hornungia_alpina,direct match
Primula_wulfeniana_184190_PHA007249_BGN_LSG,Primula_wulfeniana,direct match
Primula_vulgaris_175104_TROM_V_55382_CDM_BCK,Primula_vulgaris,direct match
Primula_villosa_184189_PHA007247_BGN_NM,Primula_villosa,direct match
Primula_veris_170927_TROM_V_149270_BXA_BDC,Primula_veris,direct match
Primula_tyrolensis_184187_PHA007241_BGN_IVH,Primula_tyrolensis,direct match
Primula_spectabilis_159015_PHA007239_BGN_NB,Primula_spectabilis,direct match
Primula_minima_159010_PHA007229_BGN_QI,Primula_minima,direct match
Primula_latifolia_152139_PHA007223_BGN_LS,Primula_latifolia,direct match
Primula_integrifolia_175074_PHA007216_BGN_LG,Primula_integrifolia,direct match
Primula_hirsuta_184183_PHA007211_BGN_KD,Primula_hirsuta,direct match
Primula_halleri_175072_PHA007209_BGN_MK,Primula_halleri,direct match
Primula_glutinosa_159007_PHA007206_BGN_QG,Primula_glutinosa,direct match
Primula_glaucescens_184182_PHA007204_BGN_LSH,Primula_glaucescens,direct match
Primula_farinosa_133892_PHA007202_BGN_IC,Primula_farinosa,direct match
Primula_elatior_175059_TROM_V_92060_BXA_BSC,Primula_elatior,direct match
Primula_daonensis_184181_PHA007191_BGN_QF,Primula_daonensis,direct match
Primula_clusiana_159004_PHA007189_BGN_LDS,Primula_clusiana,direct match
Primula_auricula_subsp_serratifolia_1851390_PHA007183_GWM_1418,Primula_auricula,direct match
Prenanthes_purpurea_43204_PHA007167_BGN_BPG,Prenanthes_purpurea,direct match
Potentilla_reptans_57933_PHA007103_BGN_BDL,Potentilla_reptans,direct match
Potentilla_recta_538583_PHA007101_BGN_GHR,Potentilla_recta,direct match
Potentilla_nitida_654624_PHA007081_BGN_GHQ,Potentilla_nitida,direct match
Potentilla_grandiflora_654638_PHA007062_BGN_AGV,Potentilla_grandiflora,direct match
Potentilla_frigida_667251_PHA007055_BGN_GHN,Potentilla_frigida,direct match
Potentilla_erecta_57940_PHA007052_BGN_FHI,Potentilla_erecta,direct match
Potentilla_crantzii_667241_PHA007046_BGN_AEK,Potentilla_crantzii,direct match
Potentilla_clusiana_654640_PHA007043_BGN_CPG,Potentilla_clusiana,direct match
Potentilla_caulescens_637897_PHA007035_BGN_GLH,Potentilla_caulescens,direct match
Potentilla_brauneana_667237_PHA007031_BGN_DTL,Potentilla_brauneana,direct match
Potentilla_aurea_chrysocraspeda_1851387_CAR007028_BGN_MEB,Potentilla_aurea,direct match
Potentilla_alba_654612_PHA007015_BGN_DGD,Potentilla_alba,direct match
Populus_tremula_113636_TROM_V_962041_BMB_NS,Populus_tremula,direct match
Polygonatum_verticillatum_261426_PHA006918_BGN_BPC,Polygonatum_verticillatum,direct match
Polygonatum_odoratum_82207_PHA006915_BGN_EK,Polygonatum_odoratum,direct match
Polygonatum_multiflorum_45371_PHA006914_BGN_EI,Polygonatum_multiflorum,direct match
Polygala_nicaeensis_gariodiana_1533300_PHA010011_BGN_LQE,Polygala_nicaeensis,direct match
Polygala_chamaebuxus_58882_PHA006898_BGN_AHC,Polygala_chamaebuxus,direct match
,,
,,
Polygala_alpestris_882677_PHA006889_BGN_AEH,Polygala_alpestris,direct match
Poa_variegata_368336_PHA006875_BGN_FCC,Poa_variegata,direct match
Poa_trivialis_89684_TROM_V_174769_BMB_KF,Poa_trivialis,direct match
